Rank,User,2025-02-06,2025-02-09,2025-02-13,2025-02-14,2025-02-15,2025-02-16,2025-02-17,2025-02-18,2025-02-19,2025-02-20,2025-02-21,2025-02-22,2025-02-23,2025-02-24,2025-02-25,2025-02-26,2025-02-27,Total
1위 👑👑👑,뽀로로,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,11
2위 👑👑,네오,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,9
3위 👑,디디,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,8
4위,Eric,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,7
4위,버터아빠,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,7
5위,둥,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,6
5위,샤인,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,6
-,시원,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,5
-,지아,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4
-,라넬,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,4
-,미음 ,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4
-,유케이 ,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3
-,본,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
-,김구름,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
-,보노,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-,스탠 ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
-,멍냥냥,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
-,안나,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-,장첸,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
-,포뇨,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
-,뿔몽,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
-,밤톨 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-,유인,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-,라이언,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
-,진지곰,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-,케이,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
-,복귀유저,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-,햎이 ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
